Number,DOI,year,Material (accurate),Material,RE,RE_C,WE(substrate),Electrolyte,El_conc(M),A_concentration,scan(mV/s),pH,Pot_Onset_V(E_used),Pot_Ox_V(E_used),J__mA_cm2,loading mg_cm-2,Pot_Onset_V (NHE),Pot_Ox_V (NHE),Ox_Onset
10,10.1039/C9NR10084A,2020,Pd NSA,Pd,Ag/AgCl,Sat.,GCE,KOH,1,1,50,14,"-0,4","-0,142","2,89",,"-0,201","0,057","0,258"
10,10.1039/C9NR10084A,2020,PdPb NSA,Pd_Pb,Ag/AgCl,Sat.,GCE,KOH,1,1,50,14,"-0,4","-0,045","5,39",,"-0,201","0,154","0,355"
10,10.1039/C9NR10084A,2020,PdGa NSA,Pd_Ga,Ag/AgCl,Sat.,GCE,KOH,1,1,50,14,"-0,4","-0,084","5,06",,"-0,201","0,115","0,316"
10,10.1039/C9NR10084A,2020,PdSn NSA,Pd_Sn,Ag/AgCl,Sat.,GCE,KOH,1,1,50,14,"-0,4","-0,11","5,57",,"-0,201","0,089","0,29"
10,10.1039/C9NR10084A,2020,PdIn NSA,Pd_In,Ag/AgCl,Sat.,GCE,KOH,1,1,50,14,"-0,4","-0,048","5,6",,"-0,201","0,151","0,352"
10,10.1039/C9NR10084A,2020,Pd/C,Pd_C,Ag/AgCl,Sat.,Commercial,KOH,1,1,50,14,"-0,34","-0,15","4,04",,"-0,141","0,049","0,19"
10,10.1039/C9NR10084A,2020,PdBi NSA,Pd_Bi,Ag/AgCl,Sat.,GCE,KOH,1,1,50,14,"-0,32","-0,01","7,87",,"-0,121","0,189","0,31"
11,10.1557/s43579-022-00234-0.,2022,LaCo0.5Mn0.5O3 ,La_Co_Mn_O,SCE,Sat.,GCE,KOH,"0,5","0,5",100,"13,56","0,8","1,62","60,48",,"1,044","1,864","0,82"
11,10.1557/s43579-022-00234-0.,2022,LaMnO3,La_Mn_O,SCE,Sat.,GCE,KOH,"0,5","0,5",100,"13,56","0,8","1,66","36,13",,"1,044","1,904","0,86"
12,10.1007/s12274-022-4873-8,2022,PdMoSb/rGO,Pd_Mo_Sb_rGO,Hg/HgO,1 M KOH,GCE,KOH,"0,5","0,5",50,"13,56","0,52","0,967","58,23",,"0,38","0,827","0,447"
12,10.1007/s12274-022-4873-8,2022,PdMo/rGO,Pd_Mo_rGO,Hg/HgO,1 M KOH,GCE,KOH,"0,5","0,5",50,"13,56","0,58","0,94","26,18",,"0,44","0,8","0,36"
13,10.1038/s41467-022-33637-7,2022,NiOOH,Ni_O_OH,RHE,standard,Ni_OH,KOH,"0,1","0,01",10,13,"1,4","1,613","3,36",,"0,633","0,846","0,213"
13,10.1038/s41467-022-33637-7,2022,NiOOH,Ni_O_OH,RHE,standard,Ni_OH,BB,,"0,01",10,12,"1,43","1,49","1,5",,"0,722","0,782","0,06"
